Filename,Avg Edge Length,Vol,Nodes,Tetrahedra
PLAG196,8.55085,0.0002746205,1095.0,4874.0
PLAG197,7.75497,0.0002390369,962.0,4256.0
PLAG198,8.6072,0.0002601704,1072.0,4730.0
PLAG199,8.48765,0.0001588725,774.0,3135.0
PLAG200,6.88487,0.0003268056,1281.0,6011.0
PLAG201,8.8845,0.0001671536,679.0,2906.0
PLAG202,7.93737,0.0002181944,922.0,4100.0
PLAG203,8.06296,0.0001982728,777.0,3250.0
PLAG204,7.57987,0.0002392357,1031.0,4664.0
PLAG205,9.36549,0.000175927,707.0,2959.0
PLAG206,7.41858,0.000113045,565.0,2241.0
PLAG207,8.59293,0.0001817723,819.0,3579.0
PLAG208,8.59692,0.0002175893,921.0,4099.0
PLAG209,7.4457,0.0001600779,610.0,2449.0
PLAG210,5.04145,9.663414e-05,1309.0,5822.0
PLAG211,5.72463,0.0002064454,2268.0,10695.0
PLAG212,5.86134,0.0001271373,1613.0,7340.0
PLAG213,5.46368,0.0002273904,2787.0,13697.0
PLAG214,6.30523,0.0001239035,1353.0,5722.0
PLAG215,5.25962,0.0001331498,1695.0,7853.0
PLAG216,5.28935,0.0001127009,1594.0,7211.0
PLAG217,5.30783,0.0001219631,1752.0,7994.0
PLAG218,6.09981,9.457063e-05,1092.0,4723.0
PLAG219,5.22995,0.0001179616,1465.0,6801.0
PLAG220,5.51411,7.800117e-05,1128.0,4971.0
PLAG221,5.33044,0.0001164141,1670.0,7546.0
PLAG222,5.65646,0.0001493689,1877.0,8992.0
PLAG223,5.40597,0.0001065018,1324.0,5947.0
PLAG224,6.10249,0.0001444276,1944.0,9421.0
PLAG225,2.35969,4.664999e-05,4141.0,20970.0
PLAG226,5.06653,6.098417e-05,889.0,3994.0
PLAG227,5.29437,8.828715e-05,1266.0,5603.0
PLAG228,4.69583,9.046822e-05,1178.0,5156.0
PLAG229,5.01006,8.618853e-05,1252.0,5611.0
PLAG230,5.52291,7.419465e-05,1088.0,4796.0
PLAG231,5.31794,9.797091e-05,1354.0,6334.0
PLAG232,5.27397,7.255086e-05,935.0,4037.0
PLAG233,5.99575,6.733563e-05,968.0,4267.0
PLAG234,4.70575,6.890775e-05,1027.0,4555.0
PLAG235,5.20011,0.0001127667,1467.0,6936.0
PLAG236,5.4668,0.0001074945,1474.0,6950.0
PLAG237,5.82461,9.071705e-05,1195.0,5574.0
PLAG238,5.05601,4.906469e-05,713.0,3054.0
PLAG239,5.1515,7.695429e-05,1100.0,5010.0
PLAG240,2.39018,4.878073e-05,4588.0,23447.0
PLAG241,2.97551,5.217978e-05,5372.0,27473.0
PLAG242,2.71934,3.522014e-05,3512.0,17488.0
PLAG243,2.92064,3.36595e-05,3200.0,16069.0
PLAG244,2.60029,4.412191e-05,4518.0,22884.0
PLAG245,2.63781,4.8684e-05,4981.0,25218.0
PLAG246,2.75029,3.930696e-05,4100.0,20790.0
