Filename,Domain_Structure,M_r,M_s,H_c,H_cr,M_r/M_s,H_cr/H_c
PLAG058, Single_Vortex,,,0.000991033112169848,0.2,0.008142482104,
PLAG059, Single_Domain,,,0.0476702369237298,0.0652176965816765,0.5141665485,1.36810095334793
PLAG060, Single_Domain,,,0.0590772464545967,0.0751225465787283,0.5143564014,1.27159864562177
PLAG061, Single_Domain,,,0.0561377375709784,0.0646931704714929,0.489306030355,1.15240074272137
PLAG062, Single_Domain,,,0.0529907425196346,0.0642733869433923,0.49201124507,1.21291727360826
PLAG063, Multi_Vortex,,,0.00587060250291768,0.0273529326376742,0.422955045065,4.65930585899485
PLAG064, Single_Vortex,,,0.00261946083890391,0.0,0.0206791353085,
PLAG065, Single_Vortex,,,0.0670760988561365,0.0817131332988752,0.50786887,1.21821535080822
PLAG066, Single_Vortex,,,0.00136258932958306,0.0896645500847867,0.0082664704455,65.8045297567559
PLAG067, Single_Vortex,,,0.0145688280201955,0.0359704024805864,0.446139975984,2.46899767302653
PLAG068, Single_Domain,,,0.0619535119162684,0.0775031400400188,0.4940424806,1.25098864685453
PLAG069, Single_Vortex,,,0.00491293162980879,0.0901859520483872,0.0296694181335,18.3568506227914
PLAG070, Single_Domain,,,0.0481431480079322,0.0636953813747207,0.51024626365,1.32304147132684
PLAG071, Multi_Vortex,,,0.00146734598607956,0.050351360847652,0.012948873423,34.3145797414693
PLAG072, Single_Vortex,,,0.0199846133899074,0.0302464433952812,0.483703772415,1.5134865411285
PLAG073, Single_Vortex,,,0.0016088198297775,0.0,0.0122930891346,
PLAG074, Single_Domain,,,0.023916067918841,0.0320453927249754,0.490757892095,1.33991059206393
PLAG075, Single_Domain,,,0.0403806242830144,0.0486611235018309,0.488142994805,1.2050611986774
PLAG076, Single_Domain,,,0.0668204162018641,0.0816133903395251,0.5102887297,1.22138404665083
PLAG077, Single_Domain,,,0.0442104132443318,0.0544071659243134,0.47921600787,1.23064142430944
PLAG078, Single_Domain,,,0.0668886304474056,0.082779167175468,0.50199166024,1.23756708160675
PLAG079, Single_Vortex,,,0.00788695308888072,0.048679484728145,0.056440461566,6.17215345134674
PLAG080, Single_Domain,,,0.0794676493457759,0.0911595476753522,0.5132359152,1.14712777370202
PLAG081, Single_Domain,,,0.0538463102180755,0.064926907468626,0.489842973235,1.20578192276638
PLAG082, Single_Vortex,,,0.00194130002689792,0.0487086340383403,0.015112216442,25.0907295953495
PLAG083, Single_Domain,,,0.058577088236115,0.0782354445647381,0.49251146618,1.33559804559392
PLAG084, Single_Vortex,,,0.0081994764387619,0.0215734893045039,0.26059899467,2.63108132154855
PLAG085, Single_Domain,,,0.0525680426715143,0.0670315987836819,0.51427998585,1.27513971183114
PLAG086, Single_Domain,,,0.0567748059591349,0.0736689357742028,0.4913974007,1.29756384948683
PLAG087, Single_Domain,,,0.082733011230575,0.110456409125403,0.50859447909,1.33509475217291
PLAG088, Single_Vortex,,,0.00109040381935614,0.2,0.014083258814,
PLAG089, Single_Vortex,,,0.0296657098979386,0.0413363044556792,0.5312586997,1.39340351530073
PLAG090, Single_Domain,,,0.0920415074747469,0.113051180073005,0.50883118871,1.22826302148541
PLAG091, Single_Vortex,,,0.000544725073385391,0.0,0.0037697861005,
PLAG092, Single_Vortex,,,0.0195086274586137,0.0292673111493215,0.41135413435,1.50022400147884
PLAG093, Single_Domain,,,0.0838682726328091,0.105821013702609,0.51605384505,1.26175263160496
PLAG094, Single_Domain,,,0.0536887427855967,0.0683986049109606,0.4751350271325,1.2739841047146
PLAG095, Single_Domain,,,0.0641433610129014,0.0820285707363012,0.51388673155,1.27883181425124
PLAG096, Single_Vortex,,,0.0018725842193226,0.116603168528239,0.01297758075575,62.2685844113434
PLAG097, Single_Vortex,,,0.00441279797759612,0.0880887752033713,0.025983943988,19.9621137542666
PLAG098, Single_Domain,,,0.0628178277047182,0.0807767776110572,0.51131690055,1.28588938144689
PLAG099, Single_Domain,,,0.0564593522141029,0.0666236913251679,0.521249210325,1.1800293257443
PLAG100, Single_Vortex,,,0.00245180118321073,0.124715634428292,0.014695133346,50.8669443845248
PLAG101, Single_Vortex,,,0.0279425290628148,0.0426429261632992,0.449441017996,1.52609400771984
PLAG102, Single_Domain,,,0.0732996826341674,0.0906723222338579,0.50790837492,1.23700838769515
PLAG103, Single_Vortex,,,0.00668181321388769,0.0742900721857881,0.048744147936,11.1182503622492
PLAG104, Single_Vortex,,,0.00874735854951548,0.0198355206987116,0.3083674457745,2.26760119485559
PLAG105, Single_Domain,,,0.0661157151588007,0.0879532307662386,0.51364305155,1.33029236022007
PLAG106, Single_Vortex,,,0.00281051256187302,0.093459968535497,0.024441239794,33.2537095913964
PLAG107, Single_Vortex,,,0.026913782959572,0.0398079019087937,0.472959296395,1.47908980200183
PLAG108, Single_Vortex,,,0.00372981191165395,0.0667812444116883,0.029109538076,17.9047217375835
PLAG109, Single_Domain,,,0.0394503927403416,0.0550386893756861,0.485344075105,1.39513666537986
PLAG110, Single_Domain,,,0.0641317371274351,0.0748905818253769,0.48533950934,1.16776162910671
PLAG111, Single_Domain,,,0.0337195044713211,0.0450557458139173,0.478387606,1.33619240615585
PLAG112, Single_Vortex,,,0.000614493067651492,0.2,0.006010942959,
PLAG113, Single_Vortex,,,0.00136610447243123,0.114888704401734,0.009068655537,84.0995009680833
PLAG114, Single_Vortex,,,0.0379128698613189,0.0503068127841328,0.48554148485,1.32690595484197
PLAG115, Single_Domain,,,0.0523246227316028,0.0648216333366126,0.493792438,1.23883613397679
PLAG116, Single_Vortex,,,0.00745872653384427,0.015020740478582,0.41898749638,2.0138478613507
PLAG117, Single_Vortex,,,0.0132745853965473,0.0253133905621898,0.363827795123,1.90690630298509
PLAG118, Single_Domain,,,0.0696034316142146,0.0832666379593819,0.4665723367275,1.19630075742382
PLAG119, Single_Vortex,,,0.00154111908150604,0.068546025937645,0.011675271463,44.4780852824554
PLAG120, Single_Domain,,,0.0734469901454944,0.0853900962188954,0.46902859701,1.16260851601601
PLAG121, Single_Domain,,,0.0539239291627053,0.0709888357616724,0.470050794932,1.31646259580746
PLAG122, Single_Vortex,,,0.00403170965531463,0.0728864854857218,0.0315413166225,18.0783071493361
PLAG123, Single_Domain,,,0.0897304393315103,0.118431171839051,0.5117235054,1.31985503159642
PLAG124, Single_Domain,,,0.0649187541891563,0.0863138938678904,0.50459196024,1.32956793373444
PLAG125, Single_Domain,,,0.0734755152169651,0.0942950816981939,0.5140826052,1.28335380051097
PLAG126, Single_Domain,,,0.0729805248713945,0.0854140404574147,0.48879429676,1.17036758241915
PLAG127, Single_Vortex,,,0.00697109389566858,0.0736401378877641,0.0455466202535,10.5636416593843
