Filename,Volume,EVSD (mu),COG X,COG Y,COG Z,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Major Eigenvector X,Major Eigenvector Y,Major Eigenvector Z,Bearing,Plunge,Ob_Sph_Pro,Dip,Strike
PLAG074,0.00769474171232372,0.244943061331592,24.7452687215629,8.16307310603271,9.96629571661394,1.97252522360607e-05,0.000172150806915264,0.000163086078330549,-0.844404904502445,-0.159182344123817,0.511508884156926,238.794087843609,9.15943974868161,0.117765590601046,80.8405602513184,328.794087843609
PLAG075,0.00435444320744456,0.202602439095614,25.7498604643618,13.8193286570963,11.333860141839,8.39782060547201e-05,7.44561932075515e-05,1.61051554585269e-05,-0.0141177746588335,0.957875465469371,0.286836680169253,2.81775913233537,73.3105648687238,0.204040785254599,16.6894351312762,92.8177591323354
PLAG076,0.0024301560668009,0.166806068954937,14.0615186429815,0.408270695630748,10.9056865191142,1.53322143802155e-06,0.000108853080136207,0.000109875650188273,-0.00322862006326212,-0.967804734937196,-0.251681487292232,359.265038684459,75.4217377890972,0.0140196941376639,14.5782622109028,89.2650386844588
PLAG077,0.00476885241446838,0.208835865545106,4.69907808508594,8.43012766223225,10.4433188294957,7.58517487937257e-06,0.00011780004606222,0.0001169188195778,0.482094298722383,0.110160656769691,-0.869166104285852,209.015511867063,6.3245768076016,0.0646329111780981,83.6754231923984,299.015511867063
PLAG078,0.00337043199927791,0.18602114605696,1.16171311483258,14.9581553891414,11.5704973984767,4.12137846941405e-06,0.000110955568670666,0.000108178718495723,-0.0184070631484276,-0.962683332589229,-0.270003668829048,356.099987401715,74.2982185886572,0.0376211356875512,15.7017814113428,86.0999874017147
PLAG079,0.00782250684055785,0.24629132193626,8.60950264680987,0.821433557489544,10.3463489366302,3.15144902105025e-05,8.14788108154249e-05,7.38936854786702e-05,0.377357381131455,0.175204971582449,-0.909342963264358,202.537377780486,10.0905864040568,0.40663281630351,79.9094135959432,292.537377780486
PLAG080,0.00317853160314252,0.182421478168439,7.94685641736169,6.04828057020017,7.76877880890666,2.85274248902338e-06,0.000129025095985086,0.000130527182454005,-0.00632926367070577,0.976121990684964,0.217130835494661,1.66967273916617,77.4540176857543,0.0219827624186705,12.5459823142457,91.6696727391662
PLAG081,0.00364984315482989,0.191025726414292,22.9703338317817,12.414651328119,11.9446832119104,4.13080348572637e-06,8.12082579798619e-05,8.05870154324382e-05,0.498542680820265,0.185789469359664,-0.846721600336024,210.489225095407,10.7071636532746,0.0510628561715104,79.2928363467254,300.489225095408
PLAG082,0.00721968277219776,0.239794838611011,19.337625469287,2.37963661911592,7.79919167498444,5.74345899701723e-05,5.03491913509923e-05,3.45562448812277e-05,-0.0499629351448355,0.345634511350274,0.937038147396023,3.05212446432927,20.2205335029433,0.643997139265278,69.7794664970567,93.0521244643293
PLAG083,0.00358861356406829,0.189951483926685,13.9021195256617,10.5070233495971,3.33496093657954,4.64728939869935e-06,9.83270416005073e-05,9.6222328674566e-05,0.503773400666742,0.12632466724727,-0.854549260853658,210.520176156845,7.25726007400226,0.047780502853648,82.7427399259977,300.520176156845
PLAG084,0.00524317761536127,0.215542036828119,14.6915664216034,9.06076832738803,10.060212223628,1.46844650908873e-05,4.63519308796308e-05,4.8619465498864e-05,-0.773160386426336,-0.0751674073142072,0.629740325641243,230.837131026101,4.3108411890985,0.309416129142715,85.6891588109015,320.837131026101
PLAG085,0.00299617879026452,0.178864039347503,17.2477849903027,6.21000725817408,10.0344695253883,3.46317364581645e-06,7.15729993068829e-05,7.42193872425945e-05,-0.0132060790410039,0.973623726163611,0.227777170339016,3.3181836424589,76.8112513735091,0.0475239506269811,13.1887486264909,93.3181836424589
PLAG086,0.00363814664144072,0.190821450422791,15.4569188045996,7.3227354819146,4.82196822649939,3.9562962235116e-06,9.8830377349289e-05,9.83892052399422e-05,0.510033088248335,0.151065026032755,-0.8467854550012,211.061260962864,8.68865140962275,0.0401209247978088,81.3113485903773,301.061260962864
