Filename,Volume,EVSD (mu),COG X,COG Y,COG Z,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Major Eigenvector X,Major Eigenvector Y,Major Eigenvector Z,Bearing,Plunge,Ob_Sph_Pro,Strike,Dip
OPX011,0.0104336689073305,0.271110378252906,22.265886512129,13.8772664623528,0.264775810163628,0.000122460823402664,0.000304463552256581,0.000423230720404098,-0.134601738509188,-0.86103831184716,0.490403300887849,195.348096577927,59.4333651318053,0.345783003754705,285.348096577927,30.5666348681947
OPX012,0.0822608638022699,0.539591228327909,13.5055922165737,14.6115062482645,0.278066635983133,0.00263680622656819,0.0374773454020048,0.0348858974416338,-0.993327061299626,0.108773415338345,0.0383365805136728,272.21018307562,6.24461317440519,0.072970533204086,2.21018307561991,83.7553868255948
OPX013,0.257971455158203,0.789813119914918,15.4891332695541,14.3787699929468,0.560246890954554,0.0346797035244718,0.0880653514473318,0.122326198279884,-0.955103076402282,-0.202366159529017,0.216393278371519,257.234278009727,11.6753598143606,0.338648473018333,347.234278009727,78.3246401856394
OPX014,0.0474774798248868,0.449258543920377,5.69410562244027,5.23063605624838,0.712734453680942,0.000517176219005825,0.0114460093937525,0.0119156359991935,-0.0920894961146124,-0.846264937055777,0.524742966618266,189.953733157881,57.8077177598632,0.0442935666870082,279.953733157881,32.1922822401368
OPX015,0.00723072261522854,0.239917002296562,22.060414762991,1.51909990787515,0.568264623651772,1.01594190379743e-05,0.000776969667959649,0.000780806811280959,0.0902030516359045,0.893085628397316,-0.440751029296293,168.433701446263,63.2635837782335,0.0130435666675417,258.433701446263,26.7364162217665
OPX016,0.0153594905232837,0.308408303718851,13.6778782750393,2.51957432449852,0.442637762794812,0.000115008851619248,0.000939924057763691,0.00104607304702448,-0.0752414225708589,-0.863626674048866,0.498485402194294,188.583435266898,59.726257418476,0.116151575329588,278.583435266898,30.273742581524
OPX017,0.129665473586129,0.627974356292436,20.9966239769475,14.3467046087804,0.768364522103036,0.0113121555194323,0.023059062326969,0.0342129604326947,-0.424532788481446,-0.773219717559577,0.471066003741786,222.025720044174,50.6439036775768,0.410606287389322,312.025720044174,39.3560963224232
OPX018,0.0111684685471456,0.277330946840346,4.52578012325652,2.58909056208636,0.678011519644929,3.01832387620933e-05,0.000856836757784017,0.000878427600269086,-0.0848551810011445,-0.850416936445118,0.519221178751948,189.281670680188,58.2570466805792,0.0347934447085107,279.281670680188,31.7429533194208
OPX019,0.0330266576556978,0.398066228544439,6.26648884973948,1.20220281893378,0.857077626897099,0.000540136177521098,0.00605451975113639,0.00657547080691272,-0.0137499010548039,0.857343472122162,-0.514561085810517,181.530671266066,59.0196038977769,0.0856780833509864,271.530671266066,30.9803961022231
OPX020,0.00432504909592524,0.202145528832476,20.5165374997657,1.57229807332276,0.697087396186935,4.03022365431471e-06,0.000334835618364113,0.000337373746287678,-0.125843751463195,-0.836608222608609,0.533151040589188,193.280882996812,56.7836705615682,0.0119911483671872,283.280882996812,33.2163294384318
OPX021,0.0014533319528045,0.140536370500085,3.9882773441218,2.48548496830354,0.726289571150646,8.94376781866829e-06,9.66489870424286e-06,1.41925333682296e-06,0.0173873475763555,0.933089700797526,-0.359223176326143,177.22889612137,68.9216823123177,0.15276622906727,267.22889612137,21.0783176876823
OPX022,0.191178029611478,0.714737309454996,11.9024669411307,14.3225863552513,1.17900959494515,0.0265063162342832,0.0423401782837546,0.0686007934952642,-0.808637875529634,-0.469954424461597,0.35390341222979,246.363227903988,28.0313381691155,0.506208605140358,336.363227903988,61.9686618308845
OPX023,0.0141363188963838,0.299994001190397,1.58210088039141,12.1548393446299,1.1345023705007,5.79781492309286e-05,0.00256401797777963,0.00261690735603299,-0.106591249943226,-0.857413158162123,0.503468948045452,191.953784620309,59.0273614633338,0.0223837203613351,281.953784620309,30.9726385366662
OPX024,0.0117889739650864,0.282374708389482,10.2269250429208,2.43175652188716,0.92937315927312,7.51686994453513e-05,0.000250893909248416,0.000311282136448762,-0.0587913346853116,-0.884766135542908,0.462312085460015,187.247293582049,62.2227555893051,0.270542226595253,277.247293582049,27.7772444106949
OPX025,0.0374684943294822,0.415166726433826,18.5327375289449,1.76996713487322,1.00256326186064,0.00211260876864116,0.00118649464781375,0.000993514689182917,-0.178093490254244,-0.883261213420989,0.433742247879018,202.3229314923,62.0382993126136,0.653815729881954,292.3229314923,27.9617006873864
OPX026,0.011298096028269,0.27839977490537,3.00227760499145,2.04515174836899,1.05443953815215,2.52456009645485e-05,0.000660264518159971,0.000664287219333631,-0.0760241085865195,-0.891672735911234,0.446251125428496,189.668186924545,63.0842005724574,0.0381198153396531,279.668186924545,26.9157994275426
OPX027,0.00242152813586571,0.166608427625681,9.69474488118653,2.24324009042626,1.12751325997367,2.41771437572717e-06,7.01214817681368e-05,7.17263724116558e-05,-0.110032686559936,-0.926457328844787,0.359957811025384,196.997458317591,67.8891438359519,0.0340932039047648,286.997458317591,22.1108561640481
OPX028,0.00103414574391566,0.125466478547508,5.57732731513265,1.38656562184178,1.14697964422906,1.08097894931447e-06,8.38760943275185e-06,9.24941940192895e-06,-0.026489384313739,-0.878601592699434,0.476820253161185,183.179754680447,61.4741317695746,0.122873999375171,273.179754680447,28.5258682304254
OPX029,0.00673874854986186,0.234347437851908,8.10550276902653,14.7394129356642,1.19701313512851,5.02619749511612e-05,0.000114895212633719,0.000162277949152062,-0.144343946667214,-0.879120537264582,0.454215704286152,197.629591635632,61.5364556708234,0.37359347802671,287.629591635632,28.4635443291766
OPX030,0.00168325864961383,0.147587896898355,20.7358023604749,1.46389402928677,1.12681781567996,1.1440876251208e-05,7.57713144078413e-06,4.39894196554284e-06,0.0234181244399578,-0.939330781848737,0.342212322570588,176.085263333332,69.9394719725783,0.482524252173916,266.085263333332,20.0605280274217
OPX031,0.0220245642174564,0.34777863662324,6.85759764440686,14.6833341635579,1.37181250715575,0.000445976532666927,0.000826208491486206,0.00125560015190099,-0.557298722223478,-0.710401858133067,0.429822444934143,232.358419925574,45.2676210216223,0.447488423477399,322.358419925574,44.7323789783777
OPX032,0.000809855332947862,0.115647506872889,14.4686169418597,1.88378804485144,1.37750105010871,3.45633750694399e-07,1.36500424869363e-05,1.38983272324673e-05,-0.985093755604924,0.171780321084886,0.00904510675219514,270.526073661223,9.89134684101694,0.0250949026600396,0.526073661223222,80.1086531589831
OPX033,0.102798957925349,0.581205920968599,6.00928231242754,14.5426319068629,1.69134229459015,0.006713966276993,0.0114110226298337,0.0179495235664986,-0.748872840937993,-0.541094077046911,0.382631242700085,242.935562947803,32.7581485091464,0.481211279042702,332.935562947803,57.2418514908536
OPX034,0.00585863305773543,0.223665615898956,20.2519095168178,5.59902205873171,1.58284356944156,8.62189894890461e-05,0.000234295215372058,0.000148691421065928,-0.987366665435634,-0.0504633683204019,0.150201586024503,261.350286239805,2.89256659005109,0.473922383800702,351.350286239805,87.1074334099489
OPX035,0.0166506012744302,0.316818426666664,25.781024731396,6.75178951073567,1.5789529717541,0.000229943176453306,0.00171357821496871,0.00148761268126601,-0.995106254093918,0.0818315312815626,0.0553817980141959,273.185462056203,4.69384999637863,0.144380419653407,3.18546205620345,85.3061500036214
OPX036,0.0388453554596572,0.420191077174235,2.31698289860694,3.93544277924597,1.85793662842225,0.00208234486232285,0.00489067505031453,0.00696250527547255,-0.432221266241707,-0.75106844848181,0.499080116517922,220.893736222572,48.6830151418538,0.36242922154101,310.893736222572,41.3169848581462
OPX037,0.0654714007218082,0.500054880205856,3.38874414993843,14.5371171621532,1.85826449359234,0.00340124051781536,0.00548231450761207,0.00881075281118421,-0.449156138687179,-0.768208541473794,0.456195571971418,224.554513803895,50.1932888736954,0.50321760224704,314.554513803895,39.8067111263046
OPX038,0.00210947043352642,0.15912006228604,5.51414293120332,0.968538566483544,1.74832884717297,1.64951594299314e-06,3.55136655258303e-05,3.59182415466802e-05,-0.0237709229581951,-0.922703357042054,0.384777153850173,183.535149666912,67.3245499851182,0.0461857712191472,273.535149666912,22.6754500148818
OPX039,0.00275288630448559,0.173885439603181,3.06307952463636,0.979050535993161,1.82190600610093,2.11155208665252e-06,8.8540164307748e-05,8.92311848744829e-05,-0.101894502163361,-0.929507003895203,0.354449206711827,196.038503271597,68.3580958819572,0.0237561789563434,286.038503271597,21.6419041180428
OPX040,0.0771583976961381,0.528195697579352,25.9716832121973,7.98946441879549,2.19395881692611,0.00311387110443665,0.0119240430191692,0.0149557191032697,-0.131423394615295,-0.849401060085435,0.511122030902144,194.419933562324,58.1465850198979,0.23467413346197,284.419933562324,31.8534149801021
OPX041,0.0276091423370796,0.374988628347757,12.9592980862041,4.08968963778379,2.17725424455516,0.000455470066825975,0.00275184995669833,0.00319340332743101,-0.164355851354549,-0.842625273298665,0.512805814050378,197.770815584221,57.4183892082288,0.154071277133723,287.770815584221,32.5816107917712
OPX042,0.00394894766797667,0.196107522016302,24.6682402962091,6.88719348300274,1.93524681375007,2.4666045912223e-05,5.26560486746936e-05,7.64782062035411e-05,-0.143329390165868,-0.858955472347554,0.491581308064973,196.254995813892,59.1995049084396,0.395480469809484,286.254995813892,30.8004950915604
OPX043,0.00365685042315741,0.191147897216981,5.92230325977368,0.99177928752062,1.97421142542001,4.12818925358988e-06,0.000114456976075299,0.00011654309179456,-0.0140734298912043,-0.933576321910716,0.358102205716128,182.250568062589,68.9993437695136,0.0357448029789195,272.250568062589,21.0006562304864
OPX044,0.00489850340328128,0.210711512223264,19.5504743726469,6.00639111929004,1.99886807583084,4.11059868596794e-05,8.35872807448675e-05,0.000123805353215168,-0.965883807641714,0.257191418960662,-0.0303487091743043,268.200320740291,14.90347591216,0.411897153021342,358.200320740291,75.09652408784
OPX045,0.0013146049797396,0.135914424409492,9.45551247663117,2.75794296744757,2.19096079005573,2.87231796641953e-06,5.43232109532612e-06,8.0186738639904e-06,-0.51362187083697,-0.697539076713791,0.499631674591597,225.791044128579,44.2298957248638,0.44347479987103,315.791044128579,45.7701042751362
OPX046,0.00910509724167241,0.259076878238773,24.7590946902355,7.86145468276479,2.38688488836561,4.21261559059439e-05,0.000620718357591558,0.000659738791636516,-0.0437636594706453,-0.862004624647367,0.50500769221497,184.952843766872,59.542412640199,0.0658597797392129,274.952843766872,30.457587359801
OPX047,0.00249082554330456,0.168182793893987,12.4394036240367,2.27054260194422,2.39574362313054,5.98232258049591e-06,5.41168445107126e-05,5.96999581891023e-05,-0.184096556659687,-0.848977660939224,0.495323519583121,200.388555950513,58.1006476603657,0.105375517576649,290.388555950513,31.8993523396343
OPX048,0.00108630420801603,0.127541331475494,19.3622258274263,5.51385558586799,2.31751666883104,1.84790478548002e-06,6.67092044239802e-06,8.36267698819261e-06,-0.0781346353376248,-0.870799888198563,0.485389053722915,189.144637775882,60.5517251170153,0.248989726090176,279.144637775882,29.4482748829847
OPX049,0.00236386639217023,0.165275355999218,9.36297023401649,2.4667320707839,2.36649619714676,1.03460613723164e-05,2.91135357932218e-05,3.91150718651447e-05,-0.284642372749315,-0.821649327776908,0.493833070783433,209.958886314992,55.2502402256773,0.309936324029203,299.958886314992,34.7497597743227
OPX050,0.0055403063264244,0.219539018612611,24.7861994418762,7.09986570481569,2.37828687888059,0.000109442616409644,5.8932137161135e-05,5.25060646401437e-05,-0.0294097611616958,-0.880803276473928,0.472568147573666,183.561147321854,61.7394144970471,0.685358476222356,273.561147321854,28.2605855029529
OPX051,0.051676570809113,0.462130914087539,13.4251082360168,1.40309438530124,2.75071559740911,0.00257154167692383,0.0083338423095044,0.0108824277911462,-0.0736005494969279,-0.855220939868888,0.513010821643683,188.164389434946,58.7841518434753,0.272434179676191,278.164389434946,31.2158481565247
OPX052,0.00677678545945829,0.234787536049421,20.3607432688505,6.65733738515039,2.55064596650196,7.1669992662649e-05,0.000221123774536723,0.000151059975444179,-0.990464644349765,0.132207498528921,0.0387422976321612,272.239998274975,7.59717389372104,0.399282175253639,2.23999827497516,82.402826106279
OPX053,0.00226631469467766,0.16296982435515,12.3875684571194,1.79009639656864,2.66678717564738,8.71440471500812e-06,4.63123440804415e-05,5.46796663526653e-05,-0.285640552370301,-0.822321533647571,0.492134910508385,210.131354110965,55.3178679684872,0.173768930663723,300.131354110965,34.6821320315128
OPX054,0.00939600431414078,0.261807165289915,24.2257978519899,7.09636128441128,2.76090538682841,8.64189873411828e-05,0.000234587427467159,0.000317758873909638,-0.250335684353316,-0.826372661015114,0.5044207274351,206.394446272142,55.727905822992,0.320175581557198,296.394446272142,34.272094177008
OPX055,0.00753050581228424,0.243187832487031,12.2762584133035,14.8166022533849,2.71751909710578,4.94783719127539e-05,9.82796933968703e-05,0.000141506215786034,-0.934329322398678,-0.285142245581283,0.213828475865331,257.109410708414,16.5673514736455,0.426549810770994,347.109410708414,73.4326485263545
OPX056,0.0169770716286871,0.318875671544767,21.568179376636,7.35670197691883,2.91141015588858,0.000287477572163635,0.00103676246160675,0.00131912717186258,-0.0956718095864009,-0.855568387143814,0.508772679858693,190.649780022887,58.8225845796972,0.247607037232543,280.649780022887,31.1774154203028
OPX057,0.0199117128925934,0.336281776537169,19.0143003120557,6.25860120951983,2.92978818609696,0.000460654994409512,0.00105118649986576,0.00150470165538211,-0.634182574913722,-0.634243609126489,0.442207537201715,235.112420746473,39.3639069200967,0.37218379538057,325.112420746473,50.6360930799033
OPX058,0.0109543192212221,0.275546938497576,17.3236671985889,6.26254847347591,3.12333264280924,0.000230094424018566,0.000313588965708234,0.000541112862250972,-0.527444203267006,-0.701895753396149,0.478690885441206,227.774156469953,44.5792991341671,0.579484870325737,317.774156469953,45.4207008658329
OPX059,0.0761121449691278,0.525797414617141,12.6663661865944,13.9964010842833,3.52048556830742,0.00101485705133881,0.033499698061586,0.0344250350346863,-0.100244884369514,-0.862045024054808,0.496819222313396,191.407597254776,59.5469793605466,0.0298873586319083,281.407597254776,30.4530206394534
